qid,eswiki_title,clase
Q2685,Arnold_Schwarzenegger,politica_gobierno
Q2767,Daniel_Morgan,politica_gobierno
Q23,George_Washington,politica_gobierno
Q607,Michael_Bloomberg,politica_gobierno
Q1124,Bill_Clinton,politica_gobierno
Q76,Barack_Obama,politica_gobierno
Q9582,Gerald_Ford,politica_gobierno
Q9588,Richard_Nixon,politica_gobierno
Q10390,John_McCain,politica_gobierno
Q91,Abraham_Lincoln,politica_gobierno
Q11100,Deval_Patrick,politica_gobierno
Q9640,Lyndon_B._Johnson,politica_gobierno
Q11105,Elena_Kagan,politica_gobierno
Q11107,Sonia_Sotomayor,politica_gobierno
Q11109,John_Paul_Stevens,politica_gobierno
Q207,George_W._Bush,politica_gobierno
Q9696,John_F._Kennedy,politica_gobierno
Q11116,Ruth_Bader_Ginsburg,politica_gobierno
Q8027,Martin_Luther_King,politica_gobierno
Q11124,Stephen_Breyer,politica_gobierno
Q9916,Dwight_D._Eisenhower,politica_gobierno
Q11132,Sandra_Day_O%27Connor,politica_gobierno
Q11138,Samuel_Alito,politica_gobierno
Q8612,Andrew_Johnson,politica_gobierno
Q11142,Clarence_Thomas,politica_gobierno
Q8768,Henry_Ford,politica_gobierno
Q9960,Ronald_Reagan,politica_gobierno
Q11153,John_Roberts,politica_gobierno
Q11156,Antonin_Scalia,politica_gobierno
Q11171,Anthony_Kennedy,politica_gobierno
Q15866,Curtis_LeMay,politica_gobierno
Q16476,Mazie_Hirono,politica_gobierno
Q11237,Nelson_Rockefeller,politica_gobierno
Q13020,Tivadar_Soros,politica_gobierno
Q13133,Michelle_Obama,politica_gobierno
Q15257,Ron_Paul,politica_gobierno
Q11595,John_Adair,politica_gobierno
Q11607,Jon_Huntsman,politica_gobierno
Q11613,Harry_S._Truman,politica_gobierno
Q3910,Alberto_II_de_M%C3%B3naco,politica_gobierno
Q39246,Richard_Feynman,politica_gobierno
Q11668,Nikki_Haley,politica_gobierno
Q3993,Jacqueline_Cochran,politica_gobierno
Q11669,Mark_Sanford,politica_gobierno
Q11671,David_Beasley,politica_gobierno
Q39311,Pat_McCrory,politica_gobierno
Q39593,Butch_Otter,politica_gobierno
Q11673,Andrew_Cuomo,politica_gobierno
Q4496,Mitt_Romney,politica_gobierno
Q5040,James_Meredith,politica_gobierno
Q39609,Terry_Branstad,politica_gobierno
Q5950,James_Brown,politica_gobierno
Q11674,David_Paterson,politica_gobierno
Q11675,Eliot_Spitzer,politica_gobierno
Q11676,George_Pataki,politica_gobierno
Q11702,John_Boehner,politica_gobierno
Q6279,Joe_Biden,politica_gobierno
Q11806,John_Adams,politica_gobierno
Q24053,Maggie_Hassan,politica_gobierno
Q11812,Thomas_Jefferson,politica_gobierno
Q24313,Mike_Pence,politica_gobierno
Q6294,Hillary_Clinton,politica_gobierno
